1,Goroka Airport,1,GKA,AYGA
2,Madang Airport,2,MAG,AYMD
3,Mount Hagen Kagamuga Airport,3,HGU,AYMH
4,Nadzab Airport,4,LAE,AYNZ
5,Port Moresby Jacksons International Airport,5,POM,AYPY
6,Wewak International Airport,6,WWK,AYWK
7,Narsarsuaq Airport,7,UAK,BGBW
8,Godthaab / Nuuk Airport,8,GOH,BGGH
9,Kangerlussuaq Airport,9,SFJ,BGSF
10,Thule Air Base,10,THU,BGTL
11,Akureyri Airport,11,AEY,BIAR
12,Egilsstaðir Airport,12,EGS,BIEG
13,Hornafjörður Airport,13,HFN,BIHN
14,Húsavík Airport,14,HZK,BIHU
15,Ísafjörður Airport,15,IFJ,BIIS
16,Keflavik International Airport,16,KEF,BIKF
17,Patreksfjörður Airport,17,PFJ,BIPA
18,Reykjavik Airport,18,RKV,BIRK
19,Siglufjörður Airport,19,SIJ,BISI
20,Vestmannaeyjar Airport,20,VEY,BIVM
21,Sault Ste Marie Airport,21,YAM,CYAM
22,Winnipeg / St. Andrews Airport,22,\N,CYAV
23,Halifax / CFB Shearwater Heliport,23,\N,CYAW
24,St. Anthony Airport,24,YAY,CYAY
25,Tofino / Long Beach Airport,25,YAZ,CYAZ
26,Kugaaruk Airport,26,YBB,CYBB
27,Baie Comeau Airport,27,YBC,CYBC
28,CFB Bagotville,28,YBG,CYBG
29,Baker Lake Airport,29,YBK,CYBK
30,Campbell River Airport,30,YBL,CYBL
31,Brandon Municipal Airport,31,YBR,CYBR
32,Cambridge Bay Airport,32,YCB,CYCB
33,Nanaimo Airport,33,YCD,CYCD
34,Castlegar/West Kootenay Regional Airport,34,YCG,CYCG
35,Miramichi Airport,35,YCH,CYCH
36,Charlo Airport,36,YCL,CYCL
37,Kugluktuk Airport,37,YCO,CYCO
38,Coronation Airport,38,YCT,CYCT
39,Chilliwack Airport,39,YCW,CYCW
40,Clyde River Airport,40,YCY,CYCY
41,Coral Harbour Airport,41,YZS,CYZS
42,Dawson City Airport,42,YDA,CYDA
43,Burwash Airport,43,YDB,CYDB
44,Princeton Airport,44,\N,CYDC
45,Deer Lake Airport,45,YDF,CYDF
46,Dease Lake Airport,46,YDL,CYDL
47,Dauphin Barker Airport,47,YDN,CYDN
48,Dawson Creek Airport,48,YDQ,CYDQ
49,Edmonton International Airport,49,YEG,CYEG
50,Arviat Airport,50,YEK,CYEK
51,Estevan Airport,51,YEN,CYEN
52,Edson Airport,52,YET,CYET
53,Eureka Airport,53,YEU,CYEU
54,Inuvik Mike Zubko Airport,54,YEV,CYEV
55,Iqaluit Airport,55,YFB,CYFB
56,Fredericton Airport,56,YFC,CYFC
57,Forestville Airport,57,YFE,CYFE
58,Flin Flon Airport,58,YFO,CYFO
59,Fort Resolution Airport,59,YFR,CYFR
60,Fort Simpson Airport,60,YFS,CYFS
61,Kingston Norman Rogers Airport,61,YGK,CYGK
62,La Grande Rivière Airport,62,YGL,CYGL
63,Gaspé (Michel-Pouliot) Airport,63,YGP,CYGP
64,Geraldton Greenstone Regional Airport,64,YGQ,CYGQ
65,Îles-de-la-Madeleine Airport,65,YGR,CYGR
66,Hudson Bay Airport,66,YHB,CYHB
67,Dryden Regional Airport,67,YHD,CYHD
68,Ulukhaktok Holman Airport,68,YHI,CYHI
69,Gjoa Haven Airport,69,YHK,CYHK
70,John C. Munro Hamilton International Airport,70,YHM,CYHM
71,Montréal / Saint-Hubert Airport,71,YHU,CYHU
72,Hay River / Merlyn Carter Airport,72,YHY,CYHY
73,Halifax / Stanfield International Airport,23,YHZ,CYHZ
74,Atikokan Municipal Airport,73,YIB,CYIB
75,Pond Inlet Airport,74,YIO,CYIO
76,St Jean Airport,75,YJN,CYJN
77,Stephenville Airport,76,YJT,CYJT
78,Kamloops Airport,77,YKA,CYKA
79,Waterloo Airport,78,YKF,CYKF
80,Schefferville Airport,79,YKL,CYKL
81,Kindersley Airport,80,YKY,CYKY
82,Buttonville Municipal Airport,81,YKZ,CYKZ
83,Chapleau Airport,82,YLD,CYLD
84,Meadow Lake Airport,83,YLJ,CYLJ
85,Lloydminster Airport,84,YLL,CYLL
86,Alert Airport,85,YLT,CYLT
87,Kelowna International Airport,86,YLW,CYLW
88,Mayo Airport,87,YMA,CYMA
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,88,YMJ,CYMJ
