city_id,city,country,timezone,dst,tz
1,Goroka,Papua New Guinea,10,U,Pacific/Port_Moresby
2,Madang,Papua New Guinea,10,U,Pacific/Port_Moresby
3,Mount Hagen,Papua New Guinea,10,U,Pacific/Port_Moresby
4,Nadzab,Papua New Guinea,10,U,Pacific/Port_Moresby
5,Port Moresby,Papua New Guinea,10,U,Pacific/Port_Moresby
6,Wewak,Papua New Guinea,10,U,Pacific/Port_Moresby
7,Narssarssuaq,Greenland,-3,E,America/Godthab
8,Godthaab,Greenland,-3,E,America/Godthab
9,Sondrestrom,Greenland,-3,E,America/Godthab
10,Thule,Greenland,-4,E,America/Thule
11,Akureyri,Iceland,0,N,Atlantic/Reykjavik
12,Egilsstadir,Iceland,0,N,Atlantic/Reykjavik
13,Hofn,Iceland,0,N,Atlantic/Reykjavik
14,Husavik,Iceland,0,N,Atlantic/Reykjavik
15,Isafjordur,Iceland,0,N,Atlantic/Reykjavik
16,Keflavik,Iceland,0,N,Atlantic/Reykjavik
17,Patreksfjordur,Iceland,0,N,Atlantic/Reykjavik
18,Reykjavik,Iceland,0,N,Atlantic/Reykjavik
19,Siglufjordur,Iceland,0,N,Atlantic/Reykjavik
20,Vestmannaeyjar,Iceland,0,N,Atlantic/Reykjavik
21,Sault Sainte Marie,Canada,-5,A,America/Toronto
22,Winnipeg,Canada,-6,A,America/Winnipeg
23,Halifax,Canada,-4,A,America/Halifax
24,St. Anthony,Canada,-3.5,A,America/St_Johns
25,Tofino,Canada,-8,A,America/Vancouver
26,Pelly Bay,Canada,-7,A,America/Edmonton
27,Baie Comeau,Canada,-5,A,America/Toronto
28,Bagotville,Canada,-5,A,America/Toronto
29,Baker Lake,Canada,-6,A,America/Winnipeg
30,Campbell River,Canada,-8,A,America/Vancouver
31,Brandon,Canada,-6,A,America/Winnipeg
32,Cambridge Bay,Canada,-7,A,America/Edmonton
33,Nanaimo,Canada,-8,A,America/Vancouver
34,Castlegar,Canada,-8,A,America/Vancouver
35,Chatham,Canada,-4,A,America/Halifax
36,Charlo,Canada,-4,A,America/Halifax
37,Coppermine,Canada,-7,A,America/Edmonton
38,Coronation,Canada,-7,A,America/Edmonton
39,Chilliwack,Canada,-8,A,America/Vancouver
40,Clyde River,Canada,-5,A,America/Toronto
41,Coral Harbour,Canada,-5,A,America/Coral_Harbour
42,Dawson,Canada,-8,A,America/Vancouver
43,Burwash,Canada,-8,A,America/Vancouver
44,Princeton,Canada,-8,A,America/Vancouver
45,Deer Lake,Canada,-3.5,A,America/St_Johns
46,Dease Lake,Canada,-8,A,America/Vancouver
47,Dauphin,Canada,-6,A,America/Winnipeg
48,Dawson Creek,Canada,-7,A,America/Dawson_Creek
49,Edmonton,Canada,-7,A,America/Edmonton
50,Eskimo Point,Canada,-6,A,America/Winnipeg
51,Estevan,Canada,-6,N,America/Regina
52,Edson,Canada,-7,A,America/Edmonton
53,Eureka,Canada,-6,A,America/Winnipeg
54,Inuvik,Canada,-7,A,America/Edmonton
55,Iqaluit,Canada,-5,A,America/Toronto
56,Fredericton,Canada,-4,A,America/Halifax
57,Forestville,Canada,-5,A,America/Toronto
58,Flin Flon,Canada,-6,A,America/Winnipeg
59,Fort Resolution,Canada,-7,A,America/Edmonton
60,Fort Simpson,Canada,-7,A,America/Edmonton
61,Kingston,Canada,-5,A,America/Toronto
62,La Grande Riviere,Canada,-5,A,America/Toronto
63,Gaspe,Canada,-5,A,America/Toronto
64,Geraldton,Canada,-5,A,America/Toronto
65,Iles De La Madeleine,Canada,-5,A,America/Toronto
66,Hudson Bay,Canada,-6,N,America/Regina
67,Dryden,Canada,-6,A,America/Winnipeg
68,Holman Island,Canada,-7,A,America/Edmonton
69,Gjoa Haven,Canada,-7,A,America/Edmonton
70,Hamilton,Canada,-5,A,America/Toronto
71,Montreal,Canada,-5,A,America/Toronto
72,Hay River,Canada,-7,A,America/Edmonton
73,Atikokan,Canada,-5,A,America/Coral_Harbour
74,Pond Inlet,Canada,-5,A,America/Toronto
75,St. Jean,Canada,-5,A,America/Toronto
76,Stephenville,Canada,-3.5,A,America/St_Johns
77,Kamloops,Canada,-8,A,America/Vancouver
78,Waterloo,Canada,-5,A,America/Toronto
79,Schefferville,Canada,-5,A,America/Toronto
80,Kindersley,Canada,-6,N,America/Regina
81,Toronto,Canada,-5,A,America/Toronto
82,Chapleau,Canada,-5,A,America/Toronto
83,Meadow Lake,Canada,-6,N,America/Regina
84,Lloydminster,Canada,-7,A,America/Edmonton
85,Alert,Canada,-5,A,America/Toronto
86,Kelowna,Canada,-8,A,America/Vancouver
87,Mayo,Canada,-8,A,America/Vancouver
88,Moose Jaw,Canada,-6,N,America/Regina
89,Fort Mcmurray,Canada,-7,A,America/Edmonton
90,Moosonee,Canada,-5,A,America/Toronto
91,Maniwaki,Canada,-5,A,America/Toronto
92,Natashquan,Canada,-5,A,America/Toronto
93,Gatineau,Canada,-5,A,America/Toronto
94,Matagami,Canada,-5,A,America/Toronto
